Trotter_steps,circuit_layers,Final_fidelity
8,1,0.9452705069084698
8,2,0.945270492395884
8,3,0.9778807123723127
8,4,0.9778786300771076
8,5,0.9886876914816242
8,6,0.9886853106657998
8,7,0.9888991469638921
8,8,0.9997541424870732
8,9,0.9998752881080404
8,10,0.7623646238998355
8,11,0.9999655769222682
8,12,0.9999337791654366
8,13,0.9999872459802469
8,14,0.999990032255032
8,15,0.99999008798228
8,16,0.9999680697766559
8,17,0.9999901262516715
8,18,0.999990204441072
8,19,0.9999903538837414
8,20,0.9999900198310696
8,21,0.9999900755486787
8,22,0.9999901225247341
8,23,0.9999900365887323
8,24,0.9999900553037645
8,25,0.9999900467476325
8,26,0.9999902776531259
8,27,0.9999901172736708
8,28,0.9999900415382817
8,29,0.9999901077796688
8,30,0.9999900105783632
8,31,0.9999900203434569
8,32,0.999990004292367
8,33,0.999990035444346
8,34,0.999990030359134
8,35,0.9999900538178481
8,36,0.9999900171212814
8,37,0.9999900615124566
8,38,0.9999900891188422
8,39,0.9999903515878282
8,40,0.9999901305438287
8,41,0.9999901066225101
8,42,0.9999900078632369
8,43,0.9999900003426502
8,44,0.9999901446956063
8,45,0.9999900142989905
8,46,0.9999901048978606
8,47,0.9999900658802989
8,48,0.9999900710752474
8,49,0.9999900686603994
8,50,0.9999900285371196
8,51,0.9999901261503724
8,52,0.9999900085263959
8,53,0.9999900378975816
8,54,0.999990113792953
8,55,0.9999900613044548
8,56,0.9999900165447438
8,57,0.9999900451096277
8,58,0.9999900377708092
8,59,0.9999900546688054
8,60,0.9999901488017392
8,61,0.9999900590753186
8,62,0.9999900266982191
8,63,0.9999900569668874
8,64,0.5701821064516295
8,65,0.9999901432645042
8,66,0.9999900084119653
8,67,0.9999900825783958
8,68,0.9999902252283641
8,69,0.9999901817736518
8,70,0.9999900458629676
8,71,0.999990128556596
8,72,0.9999900404234179
8,73,0.9999900137599146
8,74,0.9999905264164318
8,75,0.9999901545355038
8,76,0.999990057512459
8,77,0.9999900103714168
8,78,0.9999900893779632
8,79,0.9999901440285546
8,80,0.9999900396754764
8,81,0.9999901984175464
8,82,0.9999901303140827
8,83,0.9999900443119883
8,84,0.9999900480994225
8,85,0.9999900413204054
8,86,0.9999900516988567
8,87,0.999990111068438
8,88,0.9999900636284477
8,89,0.9999900507345743
8,90,0.9999900424879129
8,91,0.9999900883086068
8,92,0.999990118471629
8,93,0.999990167334306
8,94,0.9999900217738331
8,95,0.9999901823025218
8,96,0.9999900360864483
8,97,0.9999901042603695
8,98,0.9999900022648364
8,99,0.9999902581287118
