circuit_layers,Final_fidelity
39,0.9999256513876698
38,0.9999691238643637
37,0.9999825648265683
36,0.9999894149942028
35,0.9999933964877102
34,0.9999958358573292
33,0.9999973535132215
32,0.9999983072351953
31,0.9999989092520519
30,0.9999992910965396
29,0.9999995341690147
28,0.9999996895238528
27,0.9999997891784954
26,0.9999998533563134
25,0.9999998948526393
24,0.9999999218031081
23,0.9999999393952235
22,0.9999999509477694
21,0.9999999585922331
20,0.9999431617456154
19,0.9999018684191306
18,0.9993663101393522
17,0.9995786903592575
16,0.9994964801693336
15,0.9993856961641792
14,0.9990433544820643
13,0.9221990187816214
