Trotter_steps,circuit_layers,Final_fidelity
5,1,0.9401909330378879
5,2,0.999887103811662
5,3,0.9999031451046465
5,4,0.9999102699526431
5,5,0.9999351470786774
5,6,0.9999230969293174
5,7,0.9999198734030711
5,8,0.9999257923794169
5,9,0.9999077489058623
5,10,0.9999179579830055
5,11,0.9999290841439012
5,12,0.9999290841439012
5,13,0.9999290841439012
5,14,0.9999290841439012
5,15,0.9999290841439012
5,16,0.9999290841439012
5,17,0.9999290841439012
5,18,0.9999290841439012
5,19,0.9999290841439012
5,20,0.9999290841439012
5,21,0.9999290841439012
5,22,0.9999290841439012
5,23,0.9999290841439012
5,24,0.9999290841439012
5,25,0.9999290841439012
5,26,0.9999290841439012
5,27,0.9999290841439012
5,28,0.9999290841439012
5,29,0.9999290841439012
5,30,0.9999290841439012
5,31,0.9999290841439012
5,32,0.9999290841439012
5,33,0.9999290841439012
5,34,0.9999290841439012
